,City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
368,Bassar,9.25,0.78,73.4,83,75,3.36,TG,1594930994
369,Setermoen,68.86,18.35,57.2,87,75,1.34,NO,1594930994
370,Xining,36.62,101.77,54.41,79,20,2.37,CN,1594930995
371,Cayenne,4.93,-52.33,86.0,70,100,3.36,GF,1594930995
372,Norman Wells,65.28,-126.83,62.6,82,90,10.29,CA,1594930778
373,Talaya,61.38,152.75,56.95,84,92,7.11,RU,1594930995
374,Abhā,18.22,42.51,71.6,49,22,12.75,SA,1594930707
375,Forio,40.73,13.86,77.0,75,0,8.99,IT,1594930995
376,Dakar,14.69,-17.44,80.6,78,20,6.93,SN,1594930816
377,Phuket,8.0,98.25,84.99,100,20,1.12,TH,1594930995
378,Cedar City,37.68,-113.06,93.2,10,1,11.41,US,1594930995
379,Malindi,-3.22,40.12,77.52,64,33,22.08,KE,1594930996
380,Turukhansk,65.82,87.98,45.88,90,0,15.35,RU,1594930996
381,Hirara,24.8,125.28,85.28,82,100,19.42,JP,1594930996
382,San Antonio,29.42,-98.49,100.99,37,1,11.41,US,1594930922
383,Gōtsuchō,35.0,132.22,66.78,88,23,1.14,JP,1594930996
384,Soyo,-6.13,12.37,72.68,88,95,7.54,AO,1594930996
385,Falmouth,50.15,-5.07,64.4,82,40,6.93,GB,1594930750
386,Lábrea,-7.26,-64.8,94.51,28,100,2.75,BR,1594930997
387,Sairang,23.8,92.67,75.47,90,100,2.28,IN,1594930997
388,Turhal,40.39,36.08,68.0,82,75,19.46,TR,1594930997
389,Okhotsk,59.38,143.3,56.39,90,100,7.27,RU,1594930820
390,Togur,58.36,82.83,57.22,70,0,4.85,RU,1594930997
391,Garhi Khairo,28.06,67.98,99.27,40,79,15.75,PK,1594930997
392,Chipinge,-20.19,32.62,43.09,95,16,3.49,ZW,1594930997
393,Māndleshwar,22.18,75.67,84.51,76,5,3.56,IN,1594930997
394,Hirtshals,57.59,9.96,57.99,85,0,1.01,DK,1594930997
395,Hiratachō,35.43,132.82,73.4,83,75,10.29,JP,1594930998
396,Hajdúszovát,47.38,21.48,68.0,68,100,4.7,HU,1594930998
397,Otradnoye,59.78,30.82,60.8,67,75,8.95,RU,1594930998
398,Resplendor,-19.33,-41.26,71.96,69,92,5.86,BR,1594930920
399,Ust-Kuyga,70.02,135.6,43.86,73,1,5.79,RU,1594930998
400,Henties Bay,-22.12,14.28,73.0,12,0,3.94,NA,1594930998
401,Ust-Tsilma,65.44,52.15,55.54,65,100,6.71,RU,1594930749
402,Khorixas,-20.37,14.97,61.81,28,0,13.2,NA,1594930999
403,Leningradskiy,69.38,178.42,42.21,90,99,10.56,RU,1594930999
404,Port Blair,11.67,92.75,81.0,79,100,8.39,IN,1594930813
405,Jiayuguan City,39.82,98.3,67.03,34,2,5.55,CN,1594930999
406,Souillac,-20.52,57.52,69.8,77,40,8.05,MU,1594930733
407,Sawākin,19.11,37.33,86.76,44,56,3.51,SD,1594931000
408,Lucapa,-8.42,20.74,69.44,27,0,4.74,AO,1594931000
409,Najrān,17.49,44.13,87.8,40,40,16.11,SA,1594931000
410,Marawi,8.0,124.29,73.99,91,100,5.01,PH,1594931000
411,Rizhao,35.43,119.46,71.87,92,100,3.33,CN,1594931000
412,Palana,59.12,159.97,48.33,100,100,10.85,RU,1594931000
413,Sisimiut,66.94,-53.67,49.78,73,36,5.68,GL,1594930767
414,Mandalgovi,45.76,106.27,48.2,77,73,21.81,MN,1594931001
415,Camopi,3.17,-52.32,84.25,71,94,2.06,GF,1594931001
416,Villazón,-22.09,-65.59,58.93,25,76,6.91,BO,1594931001
417,Kiryat Gat,31.61,34.76,79.0,70,0,2.55,IL,1594931001
418,La Reforma,18.1,-91.02,90.0,63,45,1.03,MX,1594931001
419,São Félix do Xingu,-6.64,-51.99,89.83,40,46,3.91,BR,1594930824
420,Karonga,-9.93,33.93,66.24,63,8,9.33,MW,1594931001
421,Vostok,46.49,135.88,58.71,97,5,4.09,RU,1594931001
422,Egvekinot,66.32,-179.17,52.88,81,61,2.44,RU,1594931002
423,Hailar,49.2,119.7,64.53,92,82,1.7,CN,1594931002
424,Salta,-24.79,-65.41,71.6,37,0,2.24,AR,1594931002
425,Thinadhoo,0.53,72.93,84.61,66,95,3.47,MV,1594931002
426,Verkhovazh'ye,60.75,42.05,55.47,95,9,3.56,RU,1594930749
427,Menongue,-14.66,17.69,52.21,42,0,6.11,AO,1594931002
428,Antibes,43.56,7.13,75.2,69,20,3.36,FR,1594931002
429,Caceres,39.52,-6.37,93.99,25,0,1.01,ES,1594931002
430,Ürümqi,43.8,87.6,78.8,36,0,8.95,CN,1594931003
431,Olafsvik,64.89,-23.71,49.59,77,99,23.29,IS,1594930451
432,Tygda,53.12,126.33,63.37,94,6,4.94,RU,1594931003
433,Yura,-16.25,-71.68,71.6,10,7,11.41,PE,1594931003
434,Pedernales,18.04,-71.74,93.2,52,40,13.87,DO,1594931003
435,Grindavik,63.84,-22.43,48.2,100,90,11.41,IS,1594931003
436,Hambantota,6.12,81.12,81.84,75,100,17.83,LK,1594931003
437,Palmares do Sul,-30.26,-50.51,52.61,89,100,16.87,BR,1594931003
438,Morada Nova,-5.11,-38.37,85.93,47,0,4.76,BR,1594931004
439,Kaduy,59.2,37.15,59.0,93,40,4.88,RU,1594931004
440,Terrace,54.52,-128.6,60.8,82,75,16.11,CA,1594930764
441,Anaconda,46.13,-112.94,80.6,22,1,8.05,US,1594931004
442,Lamar,33.67,-95.58,99.0,50,1,8.05,US,1594931004
443,Cradock,-32.16,25.62,47.57,39,0,5.32,ZA,1594931004
444,Araouane,18.9,-3.53,90.91,40,81,20.6,ML,1594931005
445,Tabas,33.6,56.92,89.6,29,0,9.17,IR,1594931005
446,Horsham,51.06,-0.33,72.0,60,75,3.36,GB,1594931005
447,Naze,28.37,129.48,78.8,94,75,12.75,JP,1594930726
448,Lahaina,20.88,-156.68,82.4,61,40,14.99,US,1594930878
449,Alzamay,55.56,98.66,52.5,93,100,5.82,RU,1594931005
450,Arys,42.43,68.8,82.4,28,75,8.95,KZ,1594931005
451,Poum,-20.23,164.02,69.49,60,19,11.3,NC,1594931005
452,Skibbereen,51.55,-9.27,68.0,64,20,10.29,IE,1594931006
453,Ludvika,60.15,15.19,63.0,77,0,2.24,SE,1594931006
454,Faya,18.39,42.45,71.6,49,25,12.75,SA,1594931006
455,Bāglung,28.27,83.59,71.67,79,59,1.72,NP,1594931006
456,General Roca,-39.03,-67.58,48.2,70,75,8.05,AR,1594930957
457,Ponta Delgada,37.73,-25.67,69.8,77,75,10.29,PT,1594930781
458,Kralendijk,12.15,-68.27,87.8,66,75,18.34,BQ,1594930845
459,Altagracia de Orituco,9.86,-66.38,83.21,73,46,4.92,VE,1594931006
460,Córdoba,-31.41,-64.18,66.99,30,0,8.05,AR,1594930988
461,Tokur,53.13,132.9,60.33,97,14,1.88,RU,1594931006
462,Latung,5.5,120.88,82.71,74,100,8.7,PH,1594931007
463,Tevaitoa,-16.78,-151.5,76.42,87,94,18.21,PF,1594931007
464,Shahrud,36.42,54.98,69.98,53,8,9.06,IR,1594931007
465,Grasse,43.67,6.92,73.4,69,45,2.24,FR,1594931007
466,Dérac,19.65,-71.82,87.8,62,40,16.11,HT,1594931007
467,Stepnyak,52.83,70.78,66.78,56,98,6.89,KZ,1594931007
468,Mīnāb,27.15,57.08,96.8,32,75,9.17,IR,1594931007
469,Chengalpattu,12.7,79.98,78.8,94,75,2.24,IN,1594931007
470,Bairiki Village,1.33,172.98,82.4,78,75,5.82,KI,1594930770
471,Conakry,9.54,-13.68,78.8,83,75,11.41,GN,1594931008
472,Kumylzhenskaya,49.88,42.59,63.0,78,89,1.01,RU,1594931008
473,Villa de Reyes,21.8,-100.93,80.6,30,75,14.61,MX,1594931008
474,Udachny,66.42,112.4,51.8,76,4,4.47,RU,1594931008
475,Labuhan,-6.88,112.21,76.37,80,0,8.08,ID,1594930726
476,Ranong,9.97,98.63,79.86,82,100,2.66,TH,1594931008
477,Langsa,4.47,97.97,74.41,94,100,2.19,ID,1594931008
478,Tarauacá,-8.16,-70.77,89.56,46,5,1.83,BR,1594931008
479,Beyneu,45.32,55.2,86.25,21,100,9.86,KZ,1594931009
480,Aswān,24.09,32.91,89.08,17,0,14.16,EG,1594931009
481,Codrington,-38.27,141.97,38.57,92,1,7.78,AU,1594931009
482,Morondava,-20.28,44.28,72.82,43,0,21.9,MG,1594931009
483,Luganville,-15.53,167.17,69.8,100,40,3.11,VU,1594930728
484,Nouakchott,18.09,-15.98,78.8,74,20,10.29,MR,1594931009
485,Dicamay,16.76,122.0,74.35,90,98,2.33,PH,1594931009
486,Arlit,18.74,7.39,94.87,25,50,19.13,NE,1594931009
487,Kharp,66.8,65.81,46.29,76,0,4.54,RU,1594931010
488,Marang,5.21,103.21,77.0,94,20,3.36,MY,1594931010
489,College,64.86,-147.8,62.6,67,75,2.55,US,1594931010
490,Ndago,-4.6,34.35,61.43,63,29,10.6,TZ,1594931010
491,Rabo de Peixe,37.8,-25.58,69.8,77,75,10.29,PT,1594931010
492,Otradnoye,59.78,30.82,60.8,67,75,8.95,RU,1594931010
493,General Pico,-35.66,-63.76,63.5,41,0,6.22,AR,1594930925
494,Celestún,20.87,-90.4,89.26,57,0,15.41,MX,1594931010
495,Yakeshi,49.28,120.73,63.41,89,56,2.86,CN,1594930906
496,Cocobeach,1.0,9.58,78.8,83,40,9.17,GA,1594931011
497,Ulaangom,49.98,92.07,61.5,55,11,4.81,MN,1594931011
498,Puerto Escondido,15.85,-97.07,84.2,74,75,12.75,MX,1594930788
499,Portland,45.52,-122.68,81.0,53,40,4.7,US,1594930230
500,Saurimo,-9.66,20.39,65.25,27,0,6.67,AO,1594931011
501,Nova Gradiška,45.26,17.38,69.8,56,100,3.36,HR,1594931011
502,Srednekolymsk,67.45,153.68,47.41,60,100,7.47,RU,1594931011
503,Kosh-Agach,50.0,88.67,49.95,74,10,4.25,RU,1594931011
504,Linjiang,41.81,126.91,63.32,87,5,1.79,CN,1594931012
505,Mount Isa,-20.73,139.5,53.6,32,0,5.82,AU,1594931012
506,Ngunguru,-35.62,174.5,60.01,3,49,8.01,NZ,1594931012
507,Eureka,40.8,-124.16,71.01,100,10,1.01,US,1594930862
508,Antofagasta,-23.65,-70.4,57.2,76,75,13.87,CL,1594930854
509,Taicheng,38.73,113.23,65.08,91,92,3.44,CN,1594931012
510,Tuatapere,-46.13,167.68,32.79,95,46,4.0,NZ,1594931012
511,Ryōtsu-minato,38.08,138.43,64.4,93,100,2.24,JP,1594931012
512,Amapá,1.0,-52.0,80.44,91,16,2.53,BR,1594930821
513,Mildura,-34.2,142.15,30.2,100,0,5.59,AU,1594930714
514,Byron Bay,-28.65,153.62,51.01,71,40,8.05,AU,1594930775
515,Rimbey,52.63,-114.24,75.2,50,75,11.41,CA,1594931013
516,Upington,-28.45,21.26,48.2,39,0,6.93,ZA,1594931013
517,Øksfjord,70.24,22.35,60.8,67,83,4.7,NO,1594931013
518,Marystown,47.17,-55.15,57.85,72,100,15.35,CA,1594931013
519,Son La,21.32,103.9,71.38,87,97,1.57,VN,1594931013
520,Anadyr,64.75,177.48,48.2,100,90,2.24,RU,1594931013
521,Praia da Vitória,38.73,-27.07,69.8,83,75,10.0,PT,1594930762
522,Maple Creek,49.92,-109.48,82.11,33,0,10.16,CA,1594931014
523,Ballangen,68.34,16.83,61.0,72,40,2.24,NO,1594931014
524,Liverpool,53.41,-2.98,68.0,72,20,6.93,GB,1594930862
525,Vila Velha,-20.33,-40.29,71.6,73,40,9.17,BR,1594930947
526,Gravdal,68.12,13.5,57.2,87,40,8.05,NO,1594931014
527,Siniscola,40.57,9.69,73.4,56,14,6.93,IT,1594931014
528,Cabo Rojo,18.09,-67.15,89.01,60,17,7.0,PR,1594930805
529,Muzhi,65.37,64.67,54.12,70,100,4.85,RU,1594931014
530,Tahara,34.67,137.27,71.6,88,75,8.05,JP,1594931015
531,Kodinsk,58.69,99.18,56.82,94,100,7.78,RU,1594931015
532,Riyadh,24.69,46.72,96.8,14,46,8.05,SA,1594930980
533,Mayo,38.89,-76.51,84.99,69,1,12.75,US,1594931015
534,Illapel,-31.63,-71.17,66.13,44,100,3.0,CL,1594931015
535,São Bento,-6.28,-37.75,82.85,46,21,7.4,BR,1594931015
536,Havre-St-Pierre,50.23,-63.6,73.4,35,1,14.99,CA,1594931015
537,Weligama,5.97,80.42,78.21,90,100,5.53,LK,1594931015
538,Lázaro Cárdenas,17.96,-102.2,87.8,67,82,8.32,MX,1594931016
539,Ubauro,28.17,69.73,93.9,49,23,14.58,PK,1594931016
540,Tiruchchendur,8.48,78.12,82.54,70,100,11.74,IN,1594931016
541,Yingkou,40.66,122.23,71.13,84,0,7.67,CN,1594931016
542,Sørland,67.67,12.69,57.2,87,40,8.05,NO,1594930819
543,Beira,-19.84,34.84,69.8,68,75,17.22,MZ,1594931016
544,Bantogon,6.53,124.03,76.87,80,100,3.89,PH,1594931016
